metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,chemical_class,formula,CAS_id
MET_0653,Octanoylcarnitine,HMDB00791,C02838,Carnitine metabolism,Lipid metabolism,Lipid,C15H29NO4,25243-95-2
MET_0654,Dodecanoylcarnitine,HMDB02250,,Carnitine metabolism,Lipid metabolism,Lipid,C19H37NO4,25518-54-1
MET_0655,"3,5-Tetradecadiencarnitine",HMDB13331,,Carnitine metabolism,Lipid metabolism,Lipid,C21H37NO4,
MET_0656,Tetradecenoylcarnitine,HMDB02014,,Carnitine metabolism,Lipid metabolism,Lipid,C21H39NO4,
MET_0657,Hexadecenoylcarnitine,HMDB13207,,Carnitine metabolism,Lipid metabolism,Lipid,C23H43NO4,
MET_0658,Palmitoylcarnitine,HMDB00222,C02990,Carnitine metabolism,Lipid metabolism,Lipid,C23H45NO4,
MET_0659,Linolenyl Carnitine,HMDB06318,,Carnitine metabolism,Lipid metabolism,Lipid,C25H43NO4,
MET_0660,Linoleyl Carnitine,HMDB06469,,Carnitine metabolism,Lipid metabolism,Lipid,C25H45NO4,
MET_0661,Oleoylcarnitine,HMDB05065,,Carnitine metabolism,Lipid metabolism,Lipid,C25H47NO4,
MET_0662,Stearoylcarnitine,HMDB00848,,Carnitine metabolism,Lipid metabolism,Lipid,C25H49NO4,
MET_0663,3-OH-Linolenyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C25H43NO5,
MET_0664,3-OH-Linoleyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C25H45NO5,
MET_0665,3-OH-Oleoylcarnitine,HMDB13339,,Carnitine metabolism,Lipid metabolism,Lipid,C25H47NO5,
MET_0666,3-OH-Stearoylcarnitine,HMDB13154,,Carnitine metabolism,Lipid metabolism,Lipid,C25H49NO5,
MET_0667,3-Dehydroxycarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C7H15NO2,
MET_0668,Tiglylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C12H21NO4,
MET_0669,2-Methylbutyroylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C12H23NO4,
MET_0670,Malonylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C10H17NO6,
MET_0671,Hydroxybutyrylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C11H21NO5,
MET_0672,Glutarylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C12H21NO6,
MET_0673,3-Methylglutarylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C13H23NO6,
MET_0674,Pimelylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C14H25NO6,
MET_0675,hydroxyoctanoyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C15H29NO5,
MET_0676,Decenoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C17H31NO4,
MET_0677,Decanoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C17H33NO4,
MET_0678,Keto-decanoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C17H31NO5,
MET_0679, Dimethylnonanoyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C18H35NO4,
MET_0680,hydroxydecanoyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C17H33NO5,
MET_0681,Dodecenoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C19H35NO4,
MET_0682,Dodecanedioylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C19H35NO6,
MET_0683,Hydroxy-tetradecadiencarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C21H37NO5,
MET_0684,Hexadecadienoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C23H41NO4,
MET_0685,Hexadecanedioic acid mono-L-carnitine ester,,,Carnitine metabolism,Lipid metabolism,Lipid,C23H43NO6,
MET_0686,Hydroxy-octadecenoylcarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C25H47NO5,
MET_0687,Cervonyl carnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C29H45NO4,
MET_0688,Malondialdehyde,HMDB06112,C19440,Oxidative Stress; Lipid Peroxidation; Oxidative Damage,Lipid metabolism,Lipid,C3H4O2,542-78-9
MET_0689,Archidonoyl Glycine,HMDB05096,,"Fatty acid metabolism, acylglycine",Lipid metabolism,Lipid,C22H35NO3,179113-91-8
MET_0690,N-Linoleoylglycine,,,"Fatty acid metabolism, acylglycine",Lipid metabolism,Lipid,C20H35NO3,02764-03-6
MET_0691,Isovaleric Acid,HMDB00718,C08262,"Fatty Acid metabolism, Branched fatty acids",Lipid metabolism,Lipid,C5H10O2,503-74-2
MET_0692,Malonic Acid,HMDB00691,C00383,Fatty acid biosynthesis,Lipid metabolism,Lipid,C3H4O4,141-82-2
MET_0693,5-Hydroxyhexanoic Acid,HMDB00525,,Fatty acid metabolism,Lipid metabolism,Lipid,C6H12O3,
MET_0694,10-Hydroxydecanoate,,C02774,Fatty acid metabolism,Lipid metabolism,Lipid,C10H20O3,1679-53-4
MET_0695,Lysophosphatidic Acid,HMDB07855,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C21H41O7P,22556-62-3
MET_0696,Phosphocholine,HMDB01565,C00588,"Glycerophospholipid metabolism, choline metabolism",Lipid metabolism,Lipid,C5H14NO4P,107-73-3
MET_0697,Glycerylphosphorylethanolamine,HMDB00114,C01233,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C5H14NO6P,
MET_0698,Glycerol 1-Phosphoserine,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C6H14NO8P,
MET_0699,Trimethylamine N-Oxide,HMDB00925,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C3H9NO,1184-78-7
MET_0700,Sn-Glycero3-Phosphocholine,HMDB00086,C00670,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C8H20NO6P,28319-77-9
MET_0701,LysoPC(16:1),HMDB10383,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C24H48NO7P,
MET_0702,LysoPC(16:0),HMDB10382,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C24H50NO7P,
MET_0703,LysoPC(18:3),HMDB10388,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H48NO7P,
MET_0704,LysoPC(18:2),HMDB10386,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H50NO7P,
MET_0705,LysoPC(18:1),HMDB10385,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H52NO7P,
MET_0706,LysoPC(18:0),HMDB10384,C04230,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H54NO7P,
MET_0707,PAF C18:1 /PC(O-18:1/2:0),HMDB11148,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H56NO7P,86288-90-1
MET_0708,PC(34:2),HMDB08004,C00157,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H80NO8P,8002-43-5
MET_0709,PC(35:2),HMDB08330,C00157,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H82NO8P,
MET_0710,PC(36:4),HMDB07983,C00157,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H80NO8P,
MET_0711,PC(36:2),HMDB08590,C00157,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H84NO8P,
MET_0712,lysoPC(6:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C14H30NO7P,
MET_0713,LysoPC(14:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C22H44NO7P,
MET_0714,LysoPC(14:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C22H46NO7P,
MET_0715,LysoPC(P-16:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C24H50NO6P,
MET_0716,LysoPC(15:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C23H48NO7P,
MET_0717,LysoPC(P-18:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H52NO6P,
MET_0718,LysoPC(P-18:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H54NO6P,
MET_0719,LysoPC(17:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C25H52NO7P,
MET_0720,LysoPC(20:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H48NO7P,
MET_0721,LysoPC(20:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H50NO7P,
MET_0722,LysoPC(20:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H52NO7P,
MET_0723,LysoPC(20:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H54NO7P,
MET_0724,LysoPC(20:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H56NO7P,
MET_0725,LysoPC(20:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H58NO7P,
MET_0726,LysoPC(22:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C30H50NO7P,
MET_0727,LysoPC(22:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C30H52NO7P,
MET_0728,LysoPC(22:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C30H54NO7P,
MET_0729,LysoPC(22:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C30H60NO7P,
MET_0730,LysoPC(22:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C30H62NO7P,
MET_0731,LysoPC(24:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C32H66NO7P,
MET_0732,lysoPC(28:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C36H74NO7P,
MET_0733,PC(28:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C36H70NO8P,
MET_0734,PC(28:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C36H72NO8P,
MET_0735,PC(29:0)),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C37H74NO8P,
MET_0736,PC(30:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C38H72NO8P,
MET_0737,PC(30:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C38H74NO8P,
MET_0738,PC(30:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C38H76NO8P,
MET_0739,PC(P-32:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H78NO7P,
MET_0740,PC(P-32:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H80NO7P,
MET_0741,PC(31:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C39H78NO8P,
MET_0742,PC(32:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H70NO8P,
MET_0743,PC(32:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H74NO8P,
MET_0744,PC(32:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H76NO8P,
MET_0745,PC(32:1,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H78NO8P,
MET_0746,PC(32:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C40H80NO8P,
MET_0747,PC(P-34:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H78NO7P,
MET_0748,PC(O-34:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H80NO7P,
MET_0749,PC(P-33:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H78NO8P,
MET_0750,PC(P-34:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H82NO7P,
MET_0751,PC(34:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H84NO7P,
MET_0752,PC(34:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H74NO8P,
MET_0753,PC(34:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H76NO8P,
MET_0754,PC(34:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H78NO8P,
MET_0755,PC(34:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H82NO8P,
MET_0756,PC(O-34:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C42H84NO8P,
MET_0757,PC(P-36:1)),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H80NO7P,
MET_0758,PC(P-36:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H82NO7P,
MET_0759,PC(P-36:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H84NO7P,
MET_0760,PC(36:8),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H72NO8P,
MET_0761,PC(36:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H74NO8P,
MET_0762,PC(36:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H76NO8P,
MET_0763,PC(36:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H78NO8P,
MET_0764,PC(36:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H82NO8P,
MET_0765,PC(36:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C44H86NO8P,
MET_0766,PC(P-38:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H80NO7P,
MET_0767,PC(P-38:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H82NO7P,
MET_0768,PC(P38:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H86NO7P,
MET_0769,PC(38:8),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H76NO8P,
MET_0770,PC(38:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H78NO8P,
MET_0771,PC(38:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H86NO8P,
MET_0772,PC(P-40:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H84NO7P,
MET_0773,PC(P-40:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H90NO7P,
MET_0774,PC(40:9),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H78NO8P,
MET_0775,PC(P-40:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H94NO7P,
MET_0776,PC(40:8),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H80NO8P,
MET_0777,PC(40:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H82NO8P,
MET_0778,PC(40:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H84NO8P,
MET_0779,PC(40:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H86NO8P,
MET_0780,PC(38:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H88NO8P,
MET_0781,PC(42:10),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C50H80NO8P,
MET_0782,PC(42:9),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C50H82NO8P,
MET_0783,PC(42:8),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C50H84NO8P,
MET_0784,PC(42:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C50H88NO8P,
MET_0785,PC(42:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C50H90NO8P,
MET_0786,PC(44:10),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C52H84NO8P,
MET_0787,PC(44:9),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C52H86NO8P,
MET_0788,PC(44:8),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C52H88NO8P,
MET_0789,PC(44:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C52H90NO8P,
MET_0790,PC(44:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C52H92NO8P,
MET_0791,PAF C16:0,,C04598,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H54NO7P,74389-68-7
MET_0792,Lyso-PAF C16,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C24H52NO6P,52691-62-0
MET_0793,C-PAF/methylCarbamyl-PAF C-16,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H55N2O7P,91575-58-5
MET_0794,Lyso-PAF C18,HMDB11149,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H56NO6P,74430-89-0
MET_0795,1-AcyPAF,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H52NO8P,84062-61-3
MET_0796,Sphingosine,HMDB00252,C00319,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C18H37NO2,123-78-4
MET_0797,Sphingosine 1-phosphate,HMDB00277,C06124,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C18H38NO5P,26993-30-6
MET_0798,Sphingomyelin,HMDB01348,C00550,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H83N2O6P,85187-10-6
MET_0799,SM(d30:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C35H71N2O6P,
MET_0800,SM(d32:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C37H75N2O6P,
MET_0801,SM(d32:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C37H77N2O6P,
MET_0802,SM(d34:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C39H79N2O6P,
MET_0803,SM(d34:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C39H82N2O6P,
MET_0804,SM(d36:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H81N2O6P,
MET_0805,SM(d36:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H84N2O6P,
MET_0806,SM(d36:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H85N2O6P,
MET_0807,SM(d38:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H83N2O6P,
MET_0808,SM(d38:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H87N2O6P,
MET_0809,SM(d38:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H89N2O6P,
MET_0810,SM(d40:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H85N2O6P,
MET_0811,SM(d40:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H89N2O6P,
MET_0812,SM(d40:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H91N2O6P,
MET_0813,SM(d40:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H93N2O6P,
MET_0814,SM(d41:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H93N2O6P,
MET_0815,SM(d42:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H93N2O6P,
MET_0816,SM(d42:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H95N2O6P,
MET_0817,SM(d42:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H96N2O6P,
MET_0818,SM(d43:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H96N2O6P,
MET_0819,SM(d42:1-OH),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H93N2O7P,
MET_0820,Diethanolamine,HMDB04437,C06772,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C4H11NO2,111-42-2
MET_0821,O-Phosphoethanloamine,HMDB00224,,Glyerophospholipid metabolism,Lipid metabolism,Lipid,C2H8NO4P,1071-23-4
MET_0822,LysoPE(18:2),HMDB11507,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C23H44NO7P,
MET_0823,LysoPE(18:0),HMDB11129,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C23H48NO7P,
MET_0824,PE(P-38:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H74NO7P,
MET_0825,PE(34:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C39H76NO8P,26662-94-2
MET_0826,PE(36:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H78NO8P,
MET_0827,PE(36:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H74NO8P,
MET_0828,PE(38:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H78NO8P,
MET_0829,PE(38:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C39H74NO8P,
MET_0830,PE(36:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H76NO8P,
MET_0831,PE(38:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H74NO8P,
MET_0832,PE(O-38:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H78NO7P,
MET_0833,PE(16:0),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C21H44NO7P,
MET_0834,PE(O-36:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H76NO7P,
MET_0835,PE(P-40:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H78NO7P,
MET_0836,PE(38:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H80NO8P,
MET_0837,PE(38:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H76NO8P,
MET_0838,PE(P-36:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C41H78NO7P,
MET_0839,PE(P-38:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H76NO7P,
MET_0840,PE(P-40:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H80NO7P,
MET_0841,PE(P-40:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H76NO7P,
MET_0842,PI(34:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H79O13P,
MET_0843,PI(34:1),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C43H81O13P,
MET_0844,PI(36:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H79O13P,
MET_0845,PI(36:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H81O13P,
MET_0846,PI(36:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C45H83O13P,
MET_0847,PI(36:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H81O13P,
MET_0848,PI(38:4),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H83O13P,
MET_0849,PI(38:3),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H85O13P,
MET_0850,PI(38:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C47H87O13P,
MET_0851,PI(40:6),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C49H83O13P,
MET_0852,PI(40:7),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H76NO10P,
MET_0853,PI(40:5),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C46H80NO10P,
MET_0854,PI(42:9),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C48H76NO10P,
MET_0855,LPA(18:2),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C21H39O7P,
MET_0856,2-Arachidonoylglycerol,HMDB04666,C13856,"Glycerolipids, Monoacylglycerols",Lipid metabolism,Lipid,C23H38O4,53847-30-6
MET_0857,1-Hexadecy2-Arachidonoyglycerol,,,Glycerophospholipid metabolism/acylglycerol,Lipid metabolism,Lipid,C39H70O4,
MET_0858,Corticosterone,HMDB01547,C02140,Steroid hormone biosynthesis,Lipid metabolism,Lipid,C21H30O4,50-22-6
MET_0859,Cortexolone,HMDB00015,C05488,Steroid biosynthesis,Lipid metabolism,Lipid,C21H30O4,152-58-9
MET_0860,Cortisol,HMDB00063,C00735,Steroid hormone biosynthesis,Lipid metabolism,Lipid,C21H30O5,50-23-7
MET_0861,Cholesteryl Acetate,HMDB03822,C02530,Cholesterol metabolism,Lipid metabolism,Lipid,C29H48O2,604-35-3
MET_0862,Mevalonic Acid,HMDB00227,C00418,Terpenoid backbone biosynthesis,Lipid metabolism,Lipid,C6H12O4,17817-88-8
MET_0863,"Anandamide (18:2,N-6)",HMDB12252,,N-acylethanolamine (NAE) metabolism,Lipid metabolism,Lipid,C20H37NO2,68171-52-8
MET_0864,Oleoyl Ethanolamide,HMDB02088,,N-acylethanolamine (NAE) metabolism,Lipid metabolism,Lipid,C20H39NO2,111-58-0
MET_0865,Palmitoyl Ethanolamide,HMDB02100,C16512,N-acylethanolamine (NAE) metabolism,Lipid metabolism,Lipid,C18H37NO2,544-31-0
MET_0866,Adrenoyl Ethanolamide,HMDB13626,C13829,N-acylethanolamine (NAE) metabolism,Lipid metabolism,Lipid,C24H41NO2,150314-35-5
MET_0867,Arachidonyol Dopamine,,C12271,"Fatty amide metabolism, endocannabinoid",Lipid metabolism,Lipid,C28H41NO3,199875-69-9
MET_0868,N-Oleoyl Dopamine (OLDA),,C12272,"Fatty amide metabolism, endocannabinoid",Lipid metabolism,Lipid,C26H43NO3,105955-11-1
MET_0869,Protoporphyrin,HMDB00241,C02191,Porphyrin and chlorophyll metabolism,Porphyrin metabolism,Other,C34H34N4O4,553-12-8
MET_0870,Biliverdin,HMDB01008,,Porphyrin metabolism,Porphyrin metabolism,Other,C33H34N4O6,
MET_0871,Bilirubin,HMDB00054,C00486,Porphyrin metabolism,Porphyrin metabolism,Other,C33H36N4O6,635-65-4
MET_0872,Glyoxylic Acid,HMDB00119,C00048,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,Other,C2H2O3,298-12-4
MET_0873,Glycolic Acid,HMDB00115,C00160,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,Other,C2H4O3,79-14-1
MET_0874,Oxalic Acid,HMDB02329,C00209,Glyoxylic or Ascorbic acid metabolism,Glycylate and dicarboxylate metabolism,Other,C2H2O4,144-62-7
MET_0875,Glyceric Acid,HMDB00139,C00258,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,Other,C3H6O4,14028-62-7
MET_0876,Meso-Tartaric Acid,HMDB62642,C00552,Glycylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,Other,C4H6O6,147-73-9
MET_0877,Tartaric Acid,HMDB00956,C00898,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,Other,C4H6O6,87-69-4
MET_0878,Acetoacetic Acid,HMDB00060,C00164,Ketone bodies,Keto-Acids and Derivatives,Other,C4H6O3,541-50-4
MET_0879,3-Hydroxybutanoic Acid,HMDB00357,C01089,Ketone bodies,Keto-Acids and Derivatives,Other,C4H8O3,300-85-6
MET_0880,Butyric Acid,HMDB00039,C00246,Butyrate metabolism,Butyrate metabolism,Other,C4H8O2,107-92-6
MET_0881,Paraxanthine,HMDB01860,C13747,Caffiene metabolism,Caffeine metabolism,Other,C7H8N4O2,611-59-6
MET_0882,Caffeine,HMDB01847,C07481,Caffeine metabolism,Caffeine metabolism,Other,C8H10N4O2,58-08-2
MET_0883,Theobromine,HMDB02825,C07480,Cacao alkaloid,Caffeine metabolism,Other,C7H8N4O2,83-67-0
MET_0884,Gluconic Acid,HMDB00625,C00257,,,Unknown,C6H12O7,526-95-4
MET_0885,Quinic Acid,HMDB03072,C00296,,,Unknown,C7H12O6,77-95-2
MET_0886,115.027@1.04_ANPNEG,,,,,Unknown,,557-24-4
MET_0887,197.0635@3.33,,,Tyrosine metabolism,Amino acids,Amino acid,C9H11NO4,59-92-7
