metabolite_name,super_pathway,sub_pathway,log2FC_R1,pvalue_R1,log2FC_R39,pvalue_R39,recovery_pattern
Hex3Cer 42:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.7354064660861664,0.1819404842756007,0.431956325876786,0.4223606167897462,partial_recovery
GM3 34:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.3500714632188309,0.0449995660659206,0.1694799994872119,0.2789832707665472,stable
GM3 36:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.4034809221224563,0.1161109793785324,0.2399559208380752,0.2579700518256129,stable
GM3 38:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.0356967906581957,0.9740950880676092,0.1956487841436205,0.8193380200338016,stable
GM3 40:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.2095842378503226,0.4855258765311697,0.2354053167471981,0.415044293167951,stable
GM3 42:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.2104304908941691,0.5812274873414048,0.021917596179508,0.956586784968491,stable
S1P 18:0;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.026611089429511,0.9508928571776584,-0.5826111099757302,0.3492450033622143,stable
S1P 18:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.1151122869350141,0.5154685612990741,-0.0509676820069545,0.783863824787066,stable
LPI 18:1,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],1.232369472285147,0.00090796304178,1.6696038414254393,0.0017157274804091,persistent
PI 32:0,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.9666620307787024,0.0594051773747618,0.0603806196280114,0.8596558292115497,full_recovery
PI 34:1,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.0045787313153973,0.9894691726215186,0.2766974560467688,0.4019382026322249,stable
PI 34:0,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],0.2791215976913703,0.2827472841705504,0.1690155635247468,0.5026525496163856,stable
PI 35:2,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.664639503241531,0.091776298163359,0.1209722543959921,0.6977810756653335,full_recovery
PI 35:1,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-1.182396723850489,0.1184775937485948,0.3350473169455641,0.4764725266697505,full_recovery
PI 36:4,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.5831091542820271,0.0628945713281607,0.3105483677155642,0.1728526394557432,partial_recovery
PI 36:3,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-1.053801168855787,0.0241798721555779,0.2607392481291607,0.4193380290070356,full_recovery
PI 36:2,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.4834032795449794,0.1074929956124197,0.1377581866574646,0.5889331736298657,stable
PI 36:1,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.687247599390609,0.0837633516317423,0.1147400713025021,0.711778093132127,full_recovery
PI 38:6,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.2120279070288805,0.7761012044080547,1.325325805950493,0.0183024757441228,stable
PI 38:5,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-1.1947115568386393,0.0028044517904696,0.2008940347841748,0.3609977275469416,full_recovery
PI 38:4,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.2539760766961669,0.1946899482406227,0.2210510554644516,0.1857903067398209,stable
PI 38:3,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.6689145055258218,0.0248687781459921,0.3179661757257349,0.145217324786384,full_recovery
PI 38:2,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.9156032085202463,0.0043256878793536,0.2555514643761892,0.2865653324787552,full_recovery
PI 40:6,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.0779696451188609,0.8783747359283887,0.3988893650011896,0.4207809426653702,stable
PI 40:5,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.6028171884867698,0.2559740791422704,0.5120815216024855,0.1794328494604286,persistent
PI 40:4,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],-0.5839146127144776,0.0250564013194845,0.2328373137668665,0.2520528675975895,full_recovery
PA 34:1,Glycerophospholipids [GP],Glycerophosphates [GP10],-2.4354931986764248,0.145123812921827,0.2081504031829854,0.7570704043051754,full_recovery
PA 36:3,Glycerophospholipids [GP],Glycerophosphates [GP10],-0.6881728857908086,0.2807667021694041,0.7091547527420163,0.1583267696864949,persistent
PA 36:4,Glycerophospholipids [GP],Glycerophosphates [GP10],-1.1832282992357148,0.1772509210327121,0.536365930532488,0.3146405606168552,full_recovery
PG 32:0,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.1967599854768735,0.4757408696392203,0.0028109336169802,0.9910001008896758,stable
PG 34:0,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.5627350796634237,0.0397136987616992,0.154899837208457,0.4644784314425361,full_recovery
PG 36:0,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.4203606267761018,0.0616095699938493,0.2983923614339613,0.1200649128522844,stable
PG 34:1,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.4679093986403704,0.1283649051683327,0.2052627325373749,0.4073066270608018,stable
PG 36:1,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.6966309724261898,0.2395647883656738,0.2161847318806197,0.6157626779361136,full_recovery
PG 36:2,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.3376895385473824,0.2838143784888557,0.2052139247394733,0.4796529942329046,stable
PG 36:3,Glycerophospholipids [GP],"
Glycerophosphoglycerols [GP04]",-0.3240938977617387,0.2898937588519394,0.1443607407518556,0.6156774065923926,stable
NAE 16:0/Palmitoylethanolamide,"
Fatty amides","
N-acyl ethanolamines",0.0433672603324043,0.743130493176301,-0.088874950402112,0.497322360831148,stable
NAE 20:0/Eicosanoyl-EA,"
Fatty amides","
N-acyl ethanolamines",-0.079788276243004,0.8699337580929195,0.2501741930467547,0.6160620765889635,stable
NAE 20:1,"
Fatty amides","
N-acyl ethanolamines",1.3418221583784755,0.1553893961370391,0.7441932838797897,0.1542812417057697,partial_recovery
NAE 18:1/Oleoyl-EA,"
Fatty amides","
N-acyl ethanolamines",-0.0821724063104858,0.7792750402956591,0.2163417260225047,0.3948732332258878,stable
NAE 18:0/ Stearoyl-EA,"
Fatty amides","
N-acyl ethanolamines",0.0125525419373094,0.9581527654379374,-0.0549868849552667,0.8312292653203772,stable
CE 15:0,"Sterol Lipids [ST]
",Sterols [ST01],-0.3110507814085909,0.2047154227813429,0.0910486584988202,0.6784586500109897,stable
CE 16:0,"Sterol Lipids [ST]
",Sterols [ST01],0.4661548564395868,0.0319030667587635,-0.0533815542587305,0.8019890233556197,stable
CE 17:0,"Sterol Lipids [ST]
",Sterols [ST01],-1.2089266517845954,0.1624010601391768,0.3191889313056705,0.5483461197384487,full_recovery
CE 18:1,"Sterol Lipids [ST]
",Sterols [ST01],0.3048296869221252,0.0801327946533048,0.0323489988330496,0.875113819080937,stable
CE 18:2,"Sterol Lipids [ST]
",Sterols [ST01],0.2958777043680228,0.2006496037608057,-0.0776566767798329,0.7465329919662247,stable
CE 18:3,"Sterol Lipids [ST]
",Sterols [ST01],-0.6492641655205337,0.1127077000691408,-0.2691840863187804,0.4596078725867476,full_recovery
CE 20:3,"Sterol Lipids [ST]
",Sterols [ST01],0.5600290619708173,0.0166698385621925,-0.0797628739047705,0.7191455977295936,full_recovery
CE 20:4,"Sterol Lipids [ST]
",Sterols [ST01],0.9038091721788242,0.008906912444676,-0.2983963156922184,0.4209406072384621,full_recovery
CE 20:5,"Sterol Lipids [ST]
",Sterols [ST01],-0.0152644321214901,0.97010542939616,-0.1757366616559342,0.6575729855283783,stable
CE 22:4,"Sterol Lipids [ST]
",Sterols [ST01],0.7931314633305698,0.0299202066042992,-0.1776516145223047,0.5957506951163554,full_recovery
CE 22:5,"Sterol Lipids [ST]
",Sterols [ST01],0.8799903819916062,0.021966092615305,-0.2463286969178189,0.5657501190311134,full_recovery
CE 22:6,"Sterol Lipids [ST]
",Sterols [ST01],0.961810333542021,0.0215153323397444,-0.2885384098932435,0.5461681078765261,full_recovery
CE 19:2,"Sterol Lipids [ST]
",Sterols [ST01],0.2029899443366319,0.5928863765534789,-0.1262645838227685,0.7380290268137026,stable
2-AG,"Glycerolipids [GL]
",Monoacylglycerophosphocholines [GP0105],-0.5979623008750106,0.1803318271448766,-0.0311204259068843,0.928657273631378,full_recovery
DG 34:1,"Glycerolipids [GL]
",Diradylglycerols [GL02],-0.099126825429073,0.8104916170320109,0.3037347806107338,0.357244095406187,stable
DG 34:2,"Glycerolipids [GL]
",Diradylglycerols [GL02],0.3161175028163376,0.2726602782310909,0.4358656717274846,0.1159916650816372,stable
DG 36:1,"Glycerolipids [GL]
",Diradylglycerols [GL02],-0.7017370902203345,0.2778662250902365,0.2378578658409093,0.6062096102600256,full_recovery
DG 36:2,"Glycerolipids [GL]
",Diradylglycerols [GL02],-0.3197659693546825,0.3963517118296128,0.1148623780018807,0.7106048645524456,stable
DG 36:3,"Glycerolipids [GL]
",Diradylglycerols [GL02],0.1211269860460159,0.6451613250670631,0.2750574690970626,0.3300125272884544,stable
DG 36:4,"Glycerolipids [GL]
",Diradylglycerols [GL02],0.2523002358546432,0.4224836173756807,0.4156285265692476,0.2494276242708043,stable
DG 38:5,"Glycerolipids [GL]
",Diradylglycerols [GL02],0.2237496224327201,0.4752345996919004,0.6707608235395317,0.0290717281461503,stable
DG 40:7,"Glycerolipids [GL]
",Diradylglycerols [GL02],0.98476332178826,0.0573453719520853,0.8256420907032571,0.1279543210993211,persistent
DG 40:8,"Glycerolipids [GL]
",Diradylglycerols [GL02],1.4173474887694029,0.062063748787891,0.733422297869409,0.3602179585631346,partial_recovery
TG 48:3,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.767402854316204,0.2379550694122956,0.7222000660154152,0.1737760194798817,persistent
TG 48:2,"Glycerolipids [GL]
",Triradylglycerols [GL03],-1.0596172638679358,0.115413573707572,0.4018787123155561,0.3910765434453135,full_recovery
TG 48:1,"Glycerolipids [GL]
",Triradylglycerols [GL03],-1.291907988341882,0.111307695868486,0.2182769016737096,0.6655244178323718,full_recovery
TG 48:0,"Glycerolipids [GL]
",Triradylglycerols [GL03],-1.160371874491141,0.2228593891531461,0.4024135057907534,0.4885170105698753,full_recovery
TG 49:1,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.9605291903754314,0.1033076365298782,0.083512293188169,0.8379907034045937,full_recovery
TG 50:4,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.4688938908371476,0.20146755532382,0.5432971208898728,0.1344082100996333,stable
TG 50:3,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.3790323361721718,0.1479566398082498,0.3108659084375978,0.2025150818019144,stable
TG 50:2,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.3279450825490186,0.2569344293488426,0.1895528829042302,0.3935446961213982,stable
TG 50:1,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.4616338182382882,0.2371697356197158,0.2709885689110138,0.3247857460409796,stable
TG 50:0,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.786012001929351,0.2213657641621092,0.3953495757390108,0.3622751400665038,partial_recovery
TG 51:2,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.6065168913743121,0.0616831785880937,0.0605434540050639,0.7969827638466824,full_recovery
TG 51:1,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.8114155105215539,0.0970548145193451,0.0986844859805489,0.7701626006978095,full_recovery
TG 51:0,"Glycerolipids [GL]
",Triradylglycerols [GL03],-1.082160225589238,0.1907793214539106,0.1702200036642055,0.7515939836409219,full_recovery
TG 52:5,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.0648737802723268,0.8201660504905722,0.3209794292478938,0.275298298582247,stable
TG 52:4,"Glycerolipids [GL]
",Triradylglycerols [GL03],0.1997568192537003,0.4567381461417924,0.1831327045709527,0.5111742634454357,stable
TG 52:3,"Glycerolipids [GL]
",Triradylglycerols [GL03],0.1190109644831008,0.5594912316707483,0.1081136006443515,0.5670452410558803,stable
TG 52:2,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.2033557177824043,0.4608238607589998,0.0654601146806026,0.7531551251035926,stable
TG 52:1,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.5425588361756921,0.1814014562013518,0.1983954360651015,0.5005989071249897,full_recovery
TG 53:2,"Glycerolipids [GL]
",Triradylglycerols [GL03],-0.5574163152802876,0.0946384321662826,0.0021136515337128,0.9934276507750676,full_recovery
TG 54:7,"Glycerolipids [GL]
",Triradylglycerols [GL03],0.0326978722456274,0.9297387052490504,0.4076222407179298,0.2559569317717082,stable
TG 54:6,"Glycerolipids [GL]
",Triradylglycerols [GL03],0.2140791494531958,0.4359394795503468,0.3276419243450677,0.2674039182465246,stable
TG 54:5,"Glycerolipids [GL]
",Triradylglycerols [GL03],0.1209591196194694,0.5509760304810076,0.2468250529638358,0.2576852117933345,stable
TG 54:4,Glycerolipids [GL],Triradylglycerols [GL03],-0.0891611893395593,0.6657051691355512,0.1881636240117356,0.3380360749420202,stable
TG 54:3,Glycerolipids [GL],Triradylglycerols [GL03],-0.3998778515950186,0.2424247406749266,0.1241962048152778,0.6515537277384076,stable
TG 54:2,Glycerolipids [GL],Triradylglycerols [GL03],-0.6739256472153141,0.1698731170554518,0.1337200595933401,0.7096882023342861,full_recovery
TG 56:9,Glycerolipids [GL],Triradylglycerols [GL03],0.2091683585175534,0.693563701894102,0.3699163746566116,0.4309649095654347,stable
TG 56:8,Glycerolipids [GL],Triradylglycerols [GL03],0.4742743835553245,0.1226515007282504,0.3499954420000623,0.2361540160507673,stable
TG 56:7,Glycerolipids [GL],Triradylglycerols [GL03],0.3314735675394586,0.1224747180197917,0.3105856083926817,0.1398368964999335,stable
TG 56:6,Glycerolipids [GL],Triradylglycerols [GL03],0.1502832080706946,0.3252580066523921,0.248739292516768,0.1235958477335599,stable
TG 58:10,Glycerolipids [GL],Triradylglycerols [GL03],0.52535838655464,0.2595201026498108,0.2996479512527059,0.4829236861793085,partial_recovery
